VVc	yl	ld50	Fd50	dsl	Source
0.95	1.45	153.8461538	3.375833084	1.7	Dey&Barbhuiya2005
0.95	3.05	153.8461538	3.730372632	1.875	Dey&Barbhuiya2005
0.95	4.4	153.8461538	3.899935024	1.95	Dey&Barbhuiya2005
0.95	5	153.8461538	3.961594076	1.975	Dey&Barbhuiya2005
0.95	6.25	153.8461538	4.069497416	1.975	Dey&Barbhuiya2005
0.95	1.625	76.92307692	2.724970851	2.1	Dey&Barbhuiya2005
0.95	2.65	76.92307692	2.932068636	2.325	Dey&Barbhuiya2005
0.95	3.725	76.92307692	3.07376712	2.45	Dey&Barbhuiya2005
0.95	5	76.92307692	3.193665838	2.5	Dey&Barbhuiya2005
0.95	6.25	76.92307692	3.291764789	2.5	Dey&Barbhuiya2005
0.95	1.55	43.95604396	2.529537974	2.4	Dey&Barbhuiya2005
0.95	3	43.95604396	2.809682245	2.675	Dey&Barbhuiya2005
0.95	4.5	43.95604396	2.98271253	2.875	Dey&Barbhuiya2005
0.95	5	43.95604396	3.032149754	2.95	Dey&Barbhuiya2005
0.95	6.25	43.95604396	3.122784665	2.975	Dey&Barbhuiya2005
0.95	2.325	21.50537634	2.651092516	3.2	Dey&Barbhuiya2005
0.95	3.7	21.50537634	2.875859056	3.475	Dey&Barbhuiya2005
0.95	5	21.50537634	3.019940171	3.675	Dey&Barbhuiya2005
0.95	6.25	21.50537634	3.123678574	3.7	Dey&Barbhuiya2005
0.95	5	12.90322581	2.991007348	4.35	Dey&Barbhuiya2005
0.95	0.9666666667	230.7692308	3.375833084	1.483333333	Dey&Barbhuiya2005
0.95	2.033333333	230.7692308	3.730372632	1.633333333	Dey&Barbhuiya2005
0.95	2.933333333	230.7692308	3.899935024	1.7	Dey&Barbhuiya2005
0.95	3.333333333	230.7692308	3.961594076	1.716666667	Dey&Barbhuiya2005
0.95	4.166666667	230.7692308	4.069497416	1.716666667	Dey&Barbhuiya2005
0.95	1.083333333	115.3846154	2.724970851	1.65	Dey&Barbhuiya2005
0.95	1.766666667	115.3846154	2.932068636	1.883333333	Dey&Barbhuiya2005
0.95	2.483333333	115.3846154	3.07376712	2	Dey&Barbhuiya2005
0.95	3.333333333	115.3846154	3.193665838	2.066666667	Dey&Barbhuiya2005
0.95	4.166666667	115.3846154	3.291764789	2.083333333	Dey&Barbhuiya2005
0.95	1.033333333	65.93406593	2.529537974	1.866666667	Dey&Barbhuiya2005
0.95	2	65.93406593	2.809682245	2.166666667	Dey&Barbhuiya2005
0.95	3	65.93406593	2.98271253	2.3	Dey&Barbhuiya2005
0.95	3.333333333	65.93406593	3.015670679	2.366666667	Dey&Barbhuiya2005
0.95	4.166666667	65.93406593	3.122784665	2.383333333	Dey&Barbhuiya2005
0.95	1.55	32.25806452	2.651092516	2.65	Dey&Barbhuiya2005
0.95	2.466666667	32.25806452	2.875859056	2.95	Dey&Barbhuiya2005
0.95	3.333333333	32.25806452	3.019940171	3.133333333	Dey&Barbhuiya2005
0.95	4.166666667	32.25806452	3.123678574	3.183333333	Dey&Barbhuiya2005
0.95	3.333333333	19.35483871	2.991007348	3.6	Dey&Barbhuiya2005
0.95	0.725	307.6923077	3.375833084	1.3125	Dey&Barbhuiya2005
0.95	1.525	307.6923077	3.730372632	1.475	Dey&Barbhuiya2005
0.95	2.2	307.6923077	3.899935024	1.55	Dey&Barbhuiya2005
0.95	2.5	307.6923077	3.961594076	1.575	Dey&Barbhuiya2005
0.95	3.125	307.6923077	4.069497416	1.5875	Dey&Barbhuiya2005
0.95	0.8125	153.8461538	2.724970851	1.3125	Dey&Barbhuiya2005
0.95	1.325	153.8461538	2.932068636	1.575	Dey&Barbhuiya2005
0.95	1.8625	153.8461538	3.07376712	1.7875	Dey&Barbhuiya2005
0.95	2.5	153.8461538	3.193665838	1.925	Dey&Barbhuiya2005
0.95	3.125	153.8461538	3.291764789	1.95	Dey&Barbhuiya2005
0.95	0.775	87.91208791	2.529537974	1.5375	Dey&Barbhuiya2005
0.95	1.5	87.91208791	2.809682245	1.85	Dey&Barbhuiya2005
